index,originId,destId,count,delaycount
824,10792,11697,512,121
825,10792,12264,175,18
826,10792,12478,2857,611
827,10792,12889,357,107
828,10792,12892,256,80
829,10792,12953,1994,343
830,10792,13204,1650,368
831,10792,13232,818,151
832,10792,13303,28,3
833,10792,13487,144,30
834,10792,13930,1871,337
835,10792,14027,29,8
836,10792,14100,434,97
837,10792,14107,208,49
838,10792,14492,102,22
839,10792,14635,160,51
840,10792,14986,43,18
841,10792,15304,809,194
842,10800,10140,351,38
843,10800,10397,207,32
844,10800,10423,452,44
845,10800,10693,395,43
846,10800,10713,440,108
847,10800,11259,445,70
848,10800,11292,2025,372
849,10800,11298,728,127
850,10800,11603,132,34
851,10800,12191,315,61
852,10800,12478,300,157
853,10800,12889,4443,994
854,10800,13198,165,33
855,10800,13232,275,44
856,10800,13495,190,55
857,10800,13796,3228,567
858,10800,14057,1089,180
859,10800,14107,3167,530
860,10800,14570,439,90
861,10800,14683,187,46
862,10800,14747,1551,297
863,10800,14771,3121,943
864,10800,14831,2402,446
865,10800,14869,1353,173
866,10800,14893,2759,483
867,10800,15016,210,42
868,10800,15023,267,64
869,10821,10140,396,121
870,10821,10257,1665,601
871,10821,10397,6019,1356
872,10821,10423,1308,373
873,10821,10431,84,33
874,10821,10529,1678,589
875,10821,10599,329,99
876,10821,10693,1950,542
877,10821,10721,4070,1161
878,10821,10792,1691,616
879,10821,10994,1247,358
880,10821,11042,999,363
881,10821,11057,3324,883
882,10821,11066,1096,367
883,10821,11109,209,53
884,10821,11193,738,241
885,10821,11259,1843,583
886,10821,11292,3193,928
887,10821,11298,1587,488
888,10821,11433,2066,496
889,10821,11481,56,11
890,10821,11697,3886,1151
891,10821,11986,361,73
892,10821,11996,584,171
893,10821,12191,1387,463
894,10821,12266,1182,235
895,10821,12339,1190,404
896,10821,12391,1261,448
897,10821,12448,316,113
898,10821,12451,1417,411
899,10821,12478,595,131
900,10821,12889,2034,606
901,10821,12892,1850,578
902,10821,13198,853,297
903,10821,13204,5379,1537
904,10821,13232,1981,601
905,10821,13244,263,75
906,10821,13296,1592,493
907,10821,13303,2410,675
908,10821,13342,893,298
909,10821,13487,1478,286
910,10821,13495,1170,360
911,10821,13577,1194,337
912,10821,13796,289,156
913,10821,13930,2625,450
914,10821,13931,1536,517
915,10821,14027,1340,427
916,10821,14057,132,40
917,10821,14082,18,7
919,10821,14107,1128,376
920,10821,14122,1079,365
921,10821,14307,1857,609
922,10821,14321,1270,409
923,10821,14492,1872,596
924,10821,14524,421,134
925,10821,14576,1110,393
926,10821,14635,1384,405
927,10821,14679,982,312
928,10821,14683,777,251
929,10821,14685,971,245
930,10821,14730,895,269
931,10821,14747,594,211
932,10821,14771,463,81
933,10821,14831,66,14
934,10821,14843,1334,484
935,10821,14869,724,176
936,10821,14893,42,15
937,10821,14986,1366,421
938,10821,15016,1340,376
939,10821,15096,624,250
940,10821,15304,3259,912
941,10821,15624,249,57
942,10849,10397,363,66
943,10849,10423,23,9
944,10849,10466,129,31
945,10849,10693,129,21
946,10849,10721,90,39
947,10849,11057,12,4
948,10849,11259,26,2
949,10849,11292,2673,420
950,10849,11298,703,164
951,10849,11618,308,89
952,10849,12266,48,10
953,10849,12478,71,27
954,10849,12889,716,147
955,10849,12892,583,87
956,10849,13232,121,22
957,10849,13487,811,79
958,10849,13930,873,150
959,10849,14057,154,30
960,10849,14679,66,18
961,10849,14747,705,134
962,10849,14771,424,139
963,10849,14869,1169,146
964,10868,10397,2229,271
965,10868,11057,1244,189
966,10868,11278,1026,221
967,10868,11298,728,220
968,10868,12953,850,148
969,10868,13303,13,1
971,10868,13930,726,78
972,10874,10693,64,10
973,10874,11057,1287,241
974,10874,11278,364,34
975,10874,11697,62,19
976,10874,13577,22,5
977,10874,13930,1069,244
978,10874,14082,116,32
979,10874,14112,104,22
980,10874,14685,154,42
981,10874,14761,109,31
982,10874,14986,124,23
983,10918,14869,629,69
984,10926,10299,363,75
985,10926,15991,363,63
986,10980,10397,2391,354
987,10980,11057,979,205
988,10980,11278,296,51
989,10980,11298,1455,335
990,10980,11433,323,77
991,10980,12889,53,8
992,10980,12953,63,4
993,10980,13303,9,2
994,10980,13930,1058,214
