origin,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
OAK,7969,285,41369,3497,1598,873,561,397,267,203,148,99,84,60,36,30,29,22,65
OGG,3074,272,26543,1444,596,336,200,137,89,51,44,28,24,14,15,16,7,10,63
OKC,3612,229,22794,1248,648,423,267,189,138,113,95,58,64,51,51,44,31,18,174
OMA,4205,288,23766,1486,738,466,304,225,170,120,116,102,72,44,45,49,38,28,202
OME,62,13,365,30,9,10,6,0,2,1,2,0,0,2,0,0,0,0,0
ONT,4236,232,26175,1552,811,527,307,210,184,125,95,76,53,37,35,38,17,24,145
ORD,61205,3785,280052,18582,10694,7298,5358,4078,3098,2394,1799,1388,1150,878,762,581,433,365,2347
ORF,3929,359,21120,1302,695,454,287,208,175,128,110,70,75,62,39,36,34,36,218
ORH,307,47,1404,86,43,41,28,12,13,14,11,7,10,5,7,6,4,2,18
OTH,115,4,345,32,25,17,8,5,4,2,3,4,4,0,0,1,1,2,7
OTZ,35,22,366,11,8,7,1,1,0,1,0,2,1,0,0,0,0,0,3
PAE,130,32,1071,51,24,21,10,8,3,1,2,4,1,1,2,0,0,1,1
PBG,146,20,501,41,30,20,12,6,5,6,7,1,4,2,0,0,0,0,12
PBI,6778,515,29476,2028,1154,774,565,415,307,245,207,158,161,109,95,65,69,48,378
PDX,9520,755,59584,3518,1868,1097,745,514,366,298,199,146,136,103,77,67,44,40,302
PGD,1297,115,6337,387,246,146,106,73,53,38,42,31,29,24,17,15,14,11,65
PHL,21484,1681,100635,6590,3675,2454,1777,1377,1034,850,650,530,399,305,241,239,151,153,1059
PHX,38617,1178,193551,14317,7608,4713,3097,2132,1549,1100,830,637,496,364,276,241,186,126,945
PIA,756,63,3744,233,111,82,62,50,29,20,19,20,18,18,12,8,11,3,60
PIB,100,18,627,23,21,10,5,7,3,9,3,1,3,0,0,2,1,3,9
PIE,1657,218,8303,517,298,213,121,100,86,61,48,39,35,23,19,10,9,8,70
PIH,33,NA,NA,6,3,1,4,1,6,2,1,1,2,4,0,0,0,0,2
PIT,7075,624,43831,2361,1303,794,574,388,304,225,198,159,138,100,74,72,49,44,292
PLN,157,16,846,28,25,14,14,11,12,8,11,2,4,3,3,0,3,4,15
PNS,2602,167,13364,835,468,298,184,134,114,89,64,59,42,45,33,28,30,17,162
PPG,24,NA,NA,12,3,3,1,0,1,0,1,0,0,0,0,0,0,0,3
PQI,15,1,117,10,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
