dest,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
RDD,219,9,1487,65,33,28,22,11,10,11,11,3,5,3,2,4,2,2,7
RDM,895,101,5918,303,169,97,62,56,46,39,26,17,12,10,6,5,3,4,40
RDU,13467,866,61314,4369,2559,1533,1134,829,598,455,379,285,235,187,153,115,108,69,459
RFD,122,11,840,47,15,24,5,8,2,3,3,1,2,0,0,2,2,0,8
RHI,169,7,827,55,29,19,17,11,3,5,7,7,0,0,1,0,1,2,12
RIC,4169,233,18278,1370,793,519,341,252,199,146,104,87,66,58,46,34,23,16,115
RIW,82,10,622,24,12,5,8,7,8,0,3,2,1,1,0,1,2,0,8
RKS,86,7,623,23,15,14,6,0,3,3,1,3,2,3,1,2,0,0,10
RNO,4643,143,20913,1755,928,554,388,281,181,119,92,77,52,45,33,26,26,17,69
ROA,466,53,2944,149,91,56,35,30,27,15,15,13,4,6,6,2,2,1,14
ROC,2686,210,11937,954,511,311,211,139,129,101,55,58,49,35,25,13,12,6,77
ROW,160,27,963,43,32,20,18,10,5,5,2,7,1,2,0,1,1,0,13
RST,260,16,1415,72,43,26,17,16,12,9,10,4,10,9,5,5,1,1,20
RSW,7744,771,34878,2568,1437,916,663,468,324,258,213,162,128,101,96,68,55,47,240
SAF,552,34,2909,153,100,79,50,43,21,19,20,13,10,15,6,3,2,1,17
SAN,20663,1124,94645,7668,4033,2489,1644,1151,820,629,461,371,244,224,199,131,95,79,425
SAT,9883,437,41616,3523,1932,1157,765,516,398,345,265,200,139,129,86,63,72,53,240
SAV,3849,247,19120,1315,692,435,295,244,167,137,114,81,62,56,41,29,22,16,143
SBA,1511,96,7494,506,297,178,123,70,76,53,40,26,16,19,10,10,9,5,73
SBN,1451,99,6690,382,236,188,128,83,86,74,45,42,34,25,21,15,14,12,66
SBP,1004,53,5243,326,167,128,85,79,42,36,27,19,18,6,8,5,6,5,47
SCC,57,17,570,18,8,5,12,4,1,1,3,0,1,0,1,1,0,0,2
SCE,129,8,574,30,24,16,13,13,6,5,2,4,5,3,0,1,1,0,6
SCK,97,1,515,42,17,10,8,3,2,3,0,1,5,1,0,0,2,0,3
SDF,4765,256,24122,1634,862,606,363,272,231,141,151,102,71,60,54,32,27,23,136
SEA,29811,2051,163707,11605,5882,3493,2213,1511,1122,753,583,483,398,273,217,186,144,126,822
SFB,2585,175,9501,740,479,298,215,169,101,79,85,56,46,36,30,34,25,21,171
SFO,36078,1862,135075,11056,7276,4905,3182,2118,1552,1181,956,687,573,467,353,303,214,177,1078
SGF,1796,110,9283,619,290,234,153,96,80,72,51,44,37,21,14,14,15,13,43
SGU,393,8,3023,135,66,61,33,22,18,10,7,4,3,3,6,2,3,3,17
SHR,92,14,730,23,18,8,8,9,5,3,1,2,2,2,2,2,0,0,7
SHV,786,78,4493,234,159,101,83,45,33,18,17,16,23,12,8,5,4,3,25
SIT,295,22,1421,125,65,29,25,7,12,10,7,4,3,3,2,0,2,1,0
SJC,10124,324,50302,4027,2099,1229,786,545,382,259,177,145,97,84,49,53,41,26,125
SJT,197,20,1089,65,43,19,20,12,14,9,8,2,0,0,1,0,3,0,1
SJU,9627,401,35435,3382,1804,1104,746,598,394,295,229,198,135,131,92,82,59,43,335
SLC,18544,711,113239,6478,3466,2143,1464,1053,748,573,374,305,267,206,184,157,125,124,877
SLN,122,13,713,30,23,17,9,6,7,4,7,1,2,3,1,0,0,0,12
SMF,11756,365,55052,4682,2404,1348,889,624,449,365,248,145,131,95,78,55,36,42,165
SMX,23,NA,NA,5,4,3,3,0,1,2,1,1,1,1,1,0,0,0,0
SNA,8577,361,43520,3439,1755,1014,708,454,296,210,140,107,101,55,48,39,23,21,167
